Bug 1,Bug 2,Ch 11,Ch 21,Ch 31,Ch 41,Ch 51,Ch 61,Ch 71,Ch 81,Ch 91,Ch 101,Ch 111,Ch 121,Ch 12,Ch 22,Ch 32,Ch 42,Ch 52,Ch 62,Ch 72,Ch 82,Ch 92,Ch 102,Ch 112,Ch 122,cosine_similarity,class
34989,8375,0.0,5.55,2.17,2.8,1.5,2.92,5.17,0.91,0.59,0.51,2.0,0.0,2.77,5.99,9.29,6.79,6.32,9.81,5.99,4.24,4.24,4.24,4.24,3.29,0.822,dup
34955,32562,0.99,6.91,6.13,3.9,6.54,11.09,6.68,1.93,3.19,4.37,7.5,2.52,0.0,1.09,1.09,1.09,1.09,1.09,1.09,0.0,0.0,0.0,0.0,0.0,0.834,dup
34955,32529,0.99,6.91,6.13,3.9,6.54,11.09,6.68,1.93,3.19,4.37,7.5,2.52,0.0,3.31,2.15,2.15,2.15,4.21,3.31,1.14,1.16,1.14,0.0,1.14,0.912,dup
34955,28870,0.99,6.91,6.13,3.9,6.54,11.09,6.68,1.93,3.19,4.37,7.5,2.52,0.99,6.48,5.69,3.46,4.56,9.11,6.24,1.93,3.19,4.37,6.34,2.52,0.995,dup
34955,28455,0.99,6.91,6.13,3.9,6.54,11.09,6.68,1.93,3.19,4.37,7.5,2.52,0.0,5.81,3.71,3.1,3.77,8.38,6.47,1.94,2.41,2.88,4.68,1.54,0.986,dup
34955,28353,0.99,6.91,6.13,3.9,6.54,11.09,6.68,1.93,3.19,4.37,7.5,2.52,0.0,5.35,1.33,1.07,4.27,7.0,5.19,0.0,2.08,2.4,2.4,0.0,0.935,dup
34955,28063,0.99,6.91,6.13,3.9,6.54,11.09,6.68,1.93,3.19,4.37,7.5,2.52,1.64,5.13,2.34,5.24,3.6,9.77,3.53,2.34,0.0,3.6,6.22,0.79,0.946,dup
34955,27661,0.99,6.91,6.13,3.9,6.54,11.09,6.68,1.93,3.19,4.37,7.5,2.52,0.86,4.99,5.02,4.55,4.46,7.07,5.58,1.78,0.67,4.2,2.11,1.89,0.953,dup
34955,26991,0.99,6.91,6.13,3.9,6.54,11.09,6.68,1.93,3.19,4.37,7.5,2.52,0.0,3.62,2.27,2.27,2.27,3.57,3.57,1.16,0.0,1.16,0.0,1.16,0.886,dup
34955,26512,0.99,6.91,6.13,3.9,6.54,11.09,6.68,1.93,3.19,4.37,7.5,2.52,0.0,5.25,2.64,0.25,2.64,3.48,3.82,0.25,1.21,0.25,2.26,1.21,0.908,dup
34955,25993,0.99,6.91,6.13,3.9,6.54,11.09,6.68,1.93,3.19,4.37,7.5,2.52,1.62,6.42,5.0,3.95,4.17,8.68,6.22,1.68,2.76,3.79,5.37,2.09,0.992,dup
34955,25456,0.99,6.91,6.13,3.9,6.54,11.09,6.68,1.93,3.19,4.37,7.5,2.52,0.0,6.67,5.55,5.06,3.35,7.95,3.09,2.2,1.16,2.32,1.16,1.16,0.914,dup
34955,25270,0.99,6.91,6.13,3.9,6.54,11.09,6.68,1.93,3.19,4.37,7.5,2.52,0.0,3.4,2.66,2.66,2.79,3.79,4.81,1.08,1.0,1.72,1.41,1.08,0.938,dup
34955,25164,0.99,6.91,6.13,3.9,6.54,11.09,6.68,1.93,3.19,4.37,7.5,2.52,0.0,6.34,3.01,2.4,3.07,9.03,6.99,1.94,3.36,2.88,4.68,1.54,0.969,dup
34955,24938,0.99,6.91,6.13,3.9,6.54,11.09,6.68,1.93,3.19,4.37,7.5,2.52,0.0,2.17,2.17,2.17,2.17,2.17,2.17,1.1,0.0,1.1,0.0,1.1,0.87,dup
34955,24509,0.99,6.91,6.13,3.9,6.54,11.09,6.68,1.93,3.19,4.37,7.5,2.52,0.99,5.76,4.97,2.74,3.84,8.39,5.52,1.93,3.19,4.37,6.34,2.52,0.992,dup
34955,24192,0.99,6.91,6.13,3.9,6.54,11.09,6.68,1.93,3.19,4.37,7.5,2.52,0.88,7.97,7.29,4.13,5.64,9.49,5.61,1.69,2.78,3.81,5.41,2.1,0.987,dup
34955,23950,0.99,6.91,6.13,3.9,6.54,11.09,6.68,1.93,3.19,4.37,7.5,2.52,0.35,5.53,3.95,3.59,4.09,7.44,6.93,2.04,2.15,3.09,3.75,2.0,0.977,dup
34955,23899,0.99,6.91,6.13,3.9,6.54,11.09,6.68,1.93,3.19,4.37,7.5,2.52,0.0,3.7,2.96,2.64,2.64,7.99,3.7,1.77,1.6,1.77,0.83,1.77,0.931,dup
34955,20198,0.99,6.91,6.13,3.9,6.54,11.09,6.68,1.93,3.19,4.37,7.5,2.52,0.0,7.01,3.0,4.47,4.89,8.05,7.01,0.0,0.98,3.65,4.64,2.18,0.964,dup
34955,19691,0.99,6.91,6.13,3.9,6.54,11.09,6.68,1.93,3.19,4.37,7.5,2.52,0.0,4.03,1.84,3.66,2.7,2.7,4.03,0.89,0.86,0.89,0.86,0.89,0.873,dup
34955,19466,0.99,6.91,6.13,3.9,6.54,11.09,6.68,1.93,3.19,4.37,7.5,2.52,0.0,3.09,3.09,1.1,3.09,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.735,dup
34955,12981,0.99,6.91,6.13,3.9,6.54,11.09,6.68,1.93,3.19,4.37,7.5,2.52,0.0,5.15,6.87,1.89,4.93,7.67,5.03,1.68,2.08,2.98,2.94,2.95,0.965,dup
34955,12420,0.99,6.91,6.13,3.9,6.54,11.09,6.68,1.93,3.19,4.37,7.5,2.52,0.0,8.1,7.84,5.7,7.69,10.09,7.81,2.9,2.66,4.77,5.55,3.63,0.981,dup
34955,9045,0.99,6.91,6.13,3.9,6.54,11.09,6.68,1.93,3.19,4.37,7.5,2.52,0.0,5.89,4.18,3.23,3.6,8.72,6.48,2.69,1.06,2.89,2.48,2.51,0.958,dup
34955,8902,0.99,6.91,6.13,3.9,6.54,11.09,6.68,1.93,3.19,4.37,7.5,2.52,0.9,3.39,1.93,3.39,1.93,1.93,1.93,0.9,0.0,0.9,2.37,0.9,0.884,dup
34955,8103,0.99,6.91,6.13,3.9,6.54,11.09,6.68,1.93,3.19,4.37,7.5,2.52,0.43,4.57,5.27,2.79,3.4,6.71,3.83,1.64,2.36,4.16,3.07,1.79,0.976,dup
34955,6283,0.99,6.91,6.13,3.9,6.54,11.09,6.68,1.93,3.19,4.37,7.5,2.52,0.0,7.53,6.7,5.51,5.94,5.42,6.51,2.38,2.22,3.64,2.65,3.64,0.923,dup
34955,4153,0.99,6.91,6.13,3.9,6.54,11.09,6.68,1.93,3.19,4.37,7.5,2.52,0.0,7.28,5.62,4.11,4.81,9.6,6.44,1.67,1.68,4.67,4.95,2.87,0.986,dup
34955,3029,0.99,6.91,6.13,3.9,6.54,11.09,6.68,1.93,3.19,4.37,7.5,2.52,0.0,6.44,3.98,2.04,3.94,2.85,2.0,0.26,0.0,0.26,1.08,0.26,0.823,dup
34955,3027,0.99,6.91,6.13,3.9,6.54,11.09,6.68,1.93,3.19,4.37,7.5,2.52,0.0,6.44,3.98,2.04,3.94,2.85,2.0,0.26,0.0,0.26,1.08,0.26,0.823,dup
34955,1618,0.99,6.91,6.13,3.9,6.54,11.09,6.68,1.93,3.19,4.37,7.5,2.52,0.0,7.02,8.18,4.93,3.36,10.44,7.62,1.84,2.19,3.53,5.03,1.94,0.968,dup
34945,34641,1.86,3.25,2.53,3.63,3.63,4.58,4.42,1.17,1.77,2.56,3.36,1.66,0.53,3.41,3.59,1.24,0.53,3.47,4.11,0.58,0.53,1.92,4.83,0.53,0.88,dup
34917,16260,0.0,7.51,4.56,2.81,2.99,8.12,5.74,2.06,0.7,2.06,2.06,0.7,2.07,9.76,5.08,4.85,4.6,12.09,8.21,3.1,3.08,4.74,5.77,2.81,0.971,dup
34917,5300,0.0,7.51,4.56,2.81,2.99,8.12,5.74,2.06,0.7,2.06,2.06,0.7,2.24,5.03,2.24,2.24,2.24,5.64,3.75,2.24,3.75,2.24,2.24,2.24,0.909,dup
34867,34805,4.03,9.03,6.89,5.03,7.45,8.66,7.37,2.5,2.14,4.18,8.01,1.63,1.24,9.18,6.04,4.62,7.21,10.58,7.89,2.25,0.83,3.02,7.16,2.71,0.98,dup
