Bug 1,Bug 2,bmfu,bmfb,prod,comp,type,prior,vers,Ch 11,Ch 21,Ch 31,Ch 41,Ch 51,Ch 61,Ch 71,Ch 81,Ch 91,Ch 101,Ch 111,Ch 121,Ch 12,Ch 22,Ch 32,Ch 42,Ch 52,Ch 62,Ch 72,Ch 82,Ch 92,Ch 102,Ch 112,Ch 122,cosine_similarity,class
2401,2400,3.16,2.13,0.0,0.0,0.0,1.0,0.0,0.69,10.25,8.46,5.84,4.78,12.39,9.24,2.96,4.16,6.0,8.18,2.53,0.31,10.14,7.28,5.4,7.82,13.33,6.49,2.88,1.83,3.16,6.49,2.03,0.971,non
8542,8541,3.07,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.65,1.27,3.44,0.0,5.26,1.27,0.0,0.0,1.2,0.0,1.2,0.56,11.88,3.64,5.7,5.04,14.55,6.33,3.06,1.23,2.06,1.82,1.8,0.926,non
29697,29696,1.16,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.56,3.06,1.77,4.03,8.65,6.47,2.8,2.32,4.76,4.91,1.42,1.03,5.07,4.56,3.52,2.73,11.13,5.87,2.06,2.59,2.41,6.55,3.26,0.95,non
2579,2578,2.31,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.18,2.39,1.57,1.56,5.18,4.11,0.66,1.5,5.3,4.04,0.66,2.37,6.32,5.97,5.55,5.58,10.65,8.35,3.2,4.87,5.87,8.39,3.45,0.931,non
2463,2462,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.43,5.8,3.77,3.27,3.0,6.86,5.29,3.19,2.47,4.81,8.19,3.01,0.54,3.56,3.19,3.19,1.15,3.8,4.18,0.61,1.15,2.2,4.23,1.15,0.961,non
943,942,0.15,0.0,0.0,0.0,0.0,1.0,0.0,2.59,5.62,4.94,4.62,4.66,9.05,6.17,4.21,3.74,4.03,8.1,3.05,1.39,10.08,3.46,6.64,4.15,11.9,6.98,1.62,2.51,5.83,3.46,1.76,0.912,non
16258,16257,1.54,0.0,0.0,0.0,1.0,1.0,0.0,0.24,6.76,4.42,3.35,4.61,8.56,2.99,0.73,0.97,1.85,3.98,1.49,0.73,6.7,5.16,2.28,3.46,10.53,6.13,1.38,2.7,5.32,6.26,1.94,0.951,non
23751,23750,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.09,11.25,5.6,6.42,2.87,14.95,7.89,3.68,5.74,3.48,7.95,3.83,0.0,5.32,5.32,4.14,2.89,8.25,5.32,0.6,0.6,0.6,3.26,0.6,0.94,non
13460,13459,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.85,1.34,3.2,0.0,3.65,3.59,0.0,0.0,1.61,0.0,0.0,0.84,4.67,5.68,3.15,3.89,5.33,4.05,2.32,1.42,2.21,3.5,2.71,0.744,non
2835,2834,1.28,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.6,4.22,3.81,4.55,6.84,5.25,3.0,3.04,4.74,5.25,3.6,1.56,12.16,6.57,5.62,6.37,10.08,11.72,4.67,7.61,7.27,7.01,3.27,0.97,non
